V1,V2
2.0,0.00022175186008447636
4.0,1.0725773797561382e-07
3.0,1.2928183383477736e-05
5.0,-4.336596727491842e-09
1.0,4.905808477229101e-06
2.0,-0.00032456040270561256
26.0,4.348004131607816e-38
5.0,-5.765936348270299e-08
2.0,-0.00010272717785636781
1.0,0.21603771591748572
2.0,0.007530024567053004
3.0,-2.3095291207598268e-07
1.0,0.21603771591748572
11.0,-1.2969648416788557e-19
2.0,0.022922000951645063
2.0,0.00032536112512705453
12.0,-3.981157694659803e-20
1.0,0.13963106056857086
3.0,2.961895719156047e-06
3.0,3.380495414646296e-06
3.0,0.00026102012460905554
2.0,6.595223939327886e-05
22.0,-1.3120960072549537e-35
2.0,0.00796758867685087
3.0,0.00010576187584003226
1.0,0.13963106056857086
34.0,-8.254053155667827e-48
7.0,-1.92099020019286e-11
5.0,8.245738574802281e-09
7.0,-2.772014867498805e-11
5.0,5.434680915272086e-08
3.0,0.0005808268170516084
16.0,-4.679828550328232e-27
6.0,-7.23736468012077e-13
4.0,-3.7212355659400065e-05
3.0,1.837925132975412e-05
10.0,-2.8746144291597853e-18
2.0,0.022922000951645063
3.0,-1.8936731073283437e-05
1.0,4.905808477229101e-06
3.0,7.699920627955495e-05
5.0,-1.6184320045216877e-05
8.0,-5.4731747873861925e-11
8.0,-7.451499164663506e-14
2.0,0.009225232931791548
4.0,5.5802343763321694e-05
1.0,0.13963106056857086
2.0,0.004801930544458197
10.0,8.084618699776841e-14
1.0,4.905808477229101e-06
8.0,5.0459292151423204e-15
3.0,0.0001305358823286978
22.0,-3.7884373377131386e-29
12.0,-4.881386527706097e-19
31.0,6.4467774062196274e-55
9.0,8.257758679596505e-16
20.0,1.1830493860249558e-29
4.0,-8.46866567547741e-08
5.0,2.8261521572918482e-11
14.0,-3.0135943046132924e-29
6.0,1.2766176293306572e-12
2.0,0.02733647600259289
13.0,-1.420315672819976e-19
3.0,0.001667070923488121
5.0,-3.6115725248032375e-08
10.0,-8.005799660033447e-12
3.0,-8.561872530341094e-05
3.0,-1.8852060238665428e-06
3.0,0.001667070923488121
11.0,-3.3431398523301386e-14
2.0,0.0011191791506375626
18.0,-6.520324924662235e-26
1.0,0.08528923870652944
25.0,-1.1440127940875505e-43
25.0,-1.81779909475965e-36
5.0,-2.0457679870543796e-08
6.0,1.1396649761526184e-11
2.0,0.017370690510790893
4.0,0.00020936061387192797
11.0,-6.989918711973809e-20
3.0,1.7481008448911286e-05
2.0,-2.8988276600206905e-06
8.0,1.8093204671810118e-09
5.0,1.113096586218202e-08
2.0,4.0101775132390593e-05
1.0,-0.006494991428746665
1.0,0.13963106056857086
2.0,0.022922000951645063
14.0,-6.514353573353409e-29
43.0,-6.056964335221786e-72
6.0,-1.8338921966946673e-11
3.0,0.00018390395146787353
15.0,-2.894161346374828e-18
6.0,2.8667580193575465e-11
4.0,-1.1997149934669883e-05
16.0,-4.2384880805228423e-23
6.0,-2.1623897932392407e-08
1.0,0.14318651882506633
2.0,-0.0030201485634887733
2.0,0.017902359181696265
1.0,4.905808477229101e-06
20.0,-2.3666263337166197e-33
11.0,-1.213371012217022e-17
21.0,1.4213418638653083e-27
3.0,0.0005040893243964147
1.0,0.001294316681810249
11.0,1.5598880462030636e-21
2.0,0.0014982856734689664
4.0,5.386932441584052e-06
32.0,-3.423746886619824e-52
1.0,1.308215593931461e-05
7.0,-2.8605272927498604e-10
24.0,-5.41092217571373e-42
2.0,0.054839660700889706
3.0,2.5730677372692232e-06
2.0,0.002549705092433475
4.0,-6.054380068912762e-09
2.0,-4.704409573696284e-05
2.0,0.009239421739671627
7.0,-2.8801392584131454e-09
11.0,-1.415466773286409e-20
6.0,6.223055716160326e-11
6.0,2.1046263160984117e-10
23.0,-7.78994691220434e-35
8.0,3.810815229684893e-11
12.0,-6.271316874912506e-23
5.0,2.1781926310656532e-07
5.0,-9.043658391831946e-10
10.0,1.43373152999633e-13
4.0,9.01407168081951e-05
1.0,0.018582106657339413
3.0,4.01884139184405e-06
1.0,0.21603771591748572
2.0,0.0014804245340409136
15.0,-4.39862255642702e-23
7.0,3.718041846029545e-08
2.0,0.01738886140288653
40.0,-4.606720495550247e-73
1.0,0.003927171971360431
2.0,-0.0008653089222580464
14.0,1.9054783933996946e-21
10.0,-1.2953953853531868e-14
9.0,1.6780618261455973e-14
10.0,-2.5497043552206455e-16
3.0,0.006131974978923979
2.0,0.001629501346456028
10.0,-2.0637641470184705e-19
19.0,-7.723522659725349e-32
1.0,-0.039085789177111474
1.0,0.00012441153588882425
11.0,-1.0284788243020583e-17
2.0,0.0006421961778494516
5.0,2.1550365723266674e-10
26.0,-1.513854594772922e-42
11.0,6.14409416992292e-18
27.0,-6.92783567362768e-41
12.0,-1.6600133278467539e-18
12.0,-4.267897549848452e-16
3.0,2.7741175034921074e-05
12.0,-1.2128571452352264e-19
2.0,0.0005984215564766653
27.0,-2.6281337510420167e-47
3.0,3.830896757462273e-05
5.0,0.0008736719712628115
2.0,-4.812277971402563e-06
5.0,1.4578686289456175e-11
7.0,2.158780930881254e-09
11.0,1.5599817637145843e-18
3.0,4.196203824856414e-06
15.0,-2.3026637234211453e-26
6.0,2.1021212673182245e-08
9.0,8.117537439786527e-15
2.0,0.0092534188426249
6.0,-1.1002029044347475e-11
2.0,0.0018319829250984688
2.0,0.014630239029438169
13.0,-3.231126616290191e-18
2.0,0.003161847676635212
2.0,0.0009797675441261674
4.0,8.388983795616704e-05
14.0,-1.1373857681041403e-23
4.0,0.00016566832675083272
5.0,1.150644478102168e-07
5.0,-1.225986657270794e-09
20.0,-2.1794485559471038e-29
1.0,0.21603771591748572
9.0,2.7247405087371806e-16
22.0,-2.660939802150947e-40
11.0,-6.455044395075479e-20
8.0,1.0799566674940699e-12
2.0,0.0019701005620339873
18.0,3.9347722647528876e-29
28.0,-3.7728568583483246e-45
2.0,-4.010369675746937e-05
15.0,5.787827457415342e-22
1.0,0.21603771591748572
5.0,1.3180052800716346e-11
1.0,0.0063228499386767615
1.0,0.13963106056857086
3.0,0.013816073618704747
12.0,6.399465266387277e-20
6.0,-1.2543526023527953e-11
5.0,5.719789511636513e-06
1.0,0.0008479019409217987
12.0,-4.8038019312623837e-17
2.0,1.049563695368704e-05
3.0,1.0350017448789058e-06
5.0,1.0986869044103389e-07
3.0,0.0002908451378549818
2.0,0.001990033237375162
3.0,0.0004317774257969368
2.0,6.823564632592305e-05
2.0,-0.001046864087888277
4.0,2.5492188856651162e-05
3.0,0.0013605807094023903
8.0,-1.1690907863361771e-14
14.0,-1.531142547352047e-23
8.0,5.331086214513007e-14
5.0,-9.86876844034228e-07
2.0,0.005267416266446494
25.0,-1.5044974778189324e-43
1.0,0.0004699422254973093
3.0,5.2771498313913584e-05
2.0,0.0009317887222070574
5.0,5.1610370135625806e-08
7.0,6.24092786871051e-10
5.0,1.1826211333565212e-07
3.0,0.00015372264099192094
13.0,-6.132041042155949e-24
11.0,-2.535036160530343e-17
12.0,3.694949179567395e-22
5.0,1.6143077825051015e-08
3.0,2.2956721394229717e-05
2.0,0.00043441177791413626
14.0,-1.2434290941794585e-21
1.0,0.13963106056857086
2.0,-0.01330507284845494
3.0,9.552612871005358e-05
20.0,-9.695389327367558e-30
12.0,2.6223205872377678e-18
1.0,0.14318651882506633
7.0,-7.288126569629058e-13
2.0,0.0012515484861400127
10.0,-3.545530060807085e-14
5.0,-2.0934874948781633e-07
4.0,-1.5243273727965788e-08
3.0,8.848855934521997e-07
1.0,0.08528923870652944
4.0,3.364826880131405e-05
41.0,-1.6898470992439527e-57
3.0,-1.5002733718765986e-06
6.0,-3.390946131797385e-10
34.0,-1.1113660000368904e-53
7.0,-8.80949236897226e-13
1.0,0.000767536424521478
4.0,1.451787142456373e-08
1.0,0.004977019125198974
3.0,0.0004940473351418954
19.0,-1.0638784100379063e-24
20.0,-2.6146160368789193e-22
4.0,-3.7293077111975514e-07
1.0,-0.0002829905387949534
16.0,-9.638101052323853e-23
5.0,5.974898378688924e-06
7.0,2.2017340531781525e-08
3.0,2.579516102221383e-06
5.0,9.72495231395003e-05
5.0,4.1384571153754895e-06
7.0,-1.0583196675964642e-13
2.0,0.014630239029438169
1.0,-0.0021614292880142013
35.0,-6.1379954525446255e-56
13.0,-3.9804961738522637e-19
2.0,0.031960902587951784
6.0,1.077122425194941e-09
3.0,0.000132048897919506
12.0,1.2578645999123773e-20
5.0,3.269524971251249e-06
1.0,0.21603771591748572
8.0,-1.3194211711242468e-14
3.0,9.805160598800235e-05
4.0,1.3851106295297615e-06
1.0,-0.0008610235242770261
8.0,9.611379008882947e-11
1.0,0.0001770996860282585
7.0,-3.0775914136369814e-13
1.0,-4.666199338356804e-05
6.0,-9.346802850982738e-14
2.0,-0.0002591138043398167
19.0,-1.0505099056215296e-34
21.0,6.937866240218392e-32
3.0,1.8191821879565672e-06
1.0,0.08528923870652944
6.0,3.6933025880221564e-05
1.0,0.13963106056857086
2.0,0.00042063763546913713
8.0,-1.2908343300381056e-12
2.0,0.054839660700889706
2.0,-2.2754886786460933e-06
1.0,0.21603771591748572
8.0,2.8069452378009904e-09
4.0,5.4340440346377585e-05
3.0,0.0003921557698631727
6.0,4.0296370664045615e-10
4.0,3.620989489492593e-06
2.0,0.058968366055000866
5.0,6.372157691517831e-08
13.0,-8.37886330196059e-21
5.0,2.533186014292082e-07
6.0,-4.794555756424299e-07
4.0,3.945264569105574e-05
6.0,3.6274104782569806e-07
3.0,0.001029972727172181
2.0,0.058968366055000866
3.0,3.1993846104496543e-06
6.0,-4.808537853143929e-10
1.0,0.13963106056857086
13.0,-3.3099901977366113e-18
7.0,-3.5831737972356635e-14
5.0,2.3778432686208593e-08
3.0,6.569825190482243e-05
4.0,6.52231071892406e-08
9.0,4.859297368780678e-16
1.0,-0.019040809388337063
1.0,-0.0008610235242770261
2.0,0.004511850737414083
4.0,1.293213869714907e-05
2.0,0.018010056739865457
3.0,0.003932555821988873
35.0,-2.3924980996409726e-59
4.0,4.0841287754326685e-05
18.0,-1.7022252255552138e-30
2.0,0.002111161699656348
7.0,-3.261571481789724e-11
2.0,0.003324200571355349
6.0,9.478854221431097e-11
12.0,-6.015667798655339e-20
4.0,0.00011455628450647803
9.0,2.6393770655988924e-16
4.0,0.00015001768815462954
7.0,2.477438835162287e-13
5.0,9.228071518130947e-09
4.0,8.0547029853282e-05
22.0,-1.1977318388881534e-32
20.0,3.8940585632852317e-32
14.0,9.917887069815469e-22
2.0,0.003515299760324682
1.0,-0.06672498817189654
2.0,0.00030400865019600157
3.0,0.002315688647459392
2.0,1.3209034601989361e-05
2.0,0.007579458320905751
22.0,-5.010727372679834e-40
2.0,0.058968366055000866
37.0,9.796660539423571e-67
2.0,9.650903444112692e-06
10.0,4.80405321712604e-13
2.0,-0.00833175685117768
6.0,1.6724426764210057e-06
5.0,7.564702111172714e-10
4.0,6.172745366350692e-09
17.0,1.752627191740162e-30
2.0,0.054839660700889706
6.0,8.621948476410246e-07
5.0,-2.527295879811296e-06
3.0,2.952537739278228e-05
12.0,-1.2024762515412439e-17
4.0,-1.593396281630294e-05
5.0,2.9658179753708956e-10
3.0,0.000712913218445768
10.0,3.27621897499117e-19
35.0,-9.371091632456896e-57
8.0,6.30392182365558e-14
3.0,2.6268093484728405e-06
4.0,-2.620666905312633e-06
1.0,4.905808477229101e-06
18.0,-1.8765191471635728e-32
2.0,0.0007233808036413615
3.0,0.00017938716787116227
9.0,1.1644325848996644e-15
15.0,7.076964347846357e-27
4.0,7.2921555047043e-06
8.0,2.8312500237303e-13
4.0,2.588737713478705e-07
1.0,0.14318651882506633
4.0,1.3654489797238536e-06
4.0,3.509969819762458e-07
4.0,1.664248540930633e-05
3.0,0.0012218711763374325
6.0,3.4518175411034495e-12
10.0,-1.0780635586250918e-16
27.0,-1.128325679985439e-44
13.0,3.372480074788211e-15
4.0,2.2008147444758705e-07
22.0,-7.572269017848887e-36
2.0,0.0023137327774862856
4.0,2.0212228623344516e-07
4.0,0.0005532706120564616
9.0,-9.571664862554727e-16
2.0,0.004511850737414083
2.0,0.0092534188426249
8.0,-1.9585454297132433e-11
3.0,3.017328165020997e-06
3.0,0.0020278412697703105
8.0,2.4274057335340103e-12
0.0,0.0
2.0,0.05401062842930744
3.0,0.005976789449127689
28.0,-2.9295785197364044e-43
7.0,3.086634351077955e-10
16.0,-9.14938560701844e-26
3.0,0.0009476376116310686
6.0,-5.745959433691376e-10
1.0,0.016778048059865856
3.0,-2.7114044716068777e-07
1.0,0.08528923870652944
16.0,-1.0464187154831788e-32
3.0,-1.4442472841284473e-05
8.0,-1.3244157130160711e-12
2.0,0.0007679636491728253
5.0,9.078821162750616e-06
7.0,1.8358960742093565e-14
7.0,3.925981314095269e-12
24.0,-2.4364160501012887e-45
4.0,1.338876315383351e-07
